anyo,total,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,dias_con_dato,dias_del_anyo,cobertura,dias_con_dato_ene,dias_con_dato_feb,dias_con_dato_mar,dias_con_dato_abr,dias_con_dato_may,dias_con_dato_jun,dias_con_dato_jul,dias_con_dato_ago,dias_con_dato_sep,dias_con_dato_oct,dias_con_dato_nov,dias_con_dato_dic
1990,71,0,0,0,0,0,4,21,29,17,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1991,64,0,0,0,0,0,2,23,27,12,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1992,50,0,0,0,0,0,0,11,27,12,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
1993,38,0,0,0,0,0,1,12,22,3,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1994,64,0,0,0,0,0,1,27,31,5,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1995,47,0,0,0,0,0,3,18,23,3,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1996,40,0,0,0,0,0,2,13,23,2,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
1997,51,0,0,0,0,0,4,13,24,9,1,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1998,64,0,0,0,0,0,5,25,23,11,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
1999,65,0,0,0,0,0,4,27,30,4,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2000,57,0,0,0,0,0,7,21,25,4,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2001,70,0,0,0,0,0,7,22,30,10,1,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2002,66,0,0,0,0,0,10,27,20,9,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2003,89,0,0,0,0,0,20,31,30,8,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2004,81,0,0,0,0,0,9,23,31,15,3,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2005,71,0,0,0,0,0,16,28,21,6,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2006,79,0,0,0,0,0,14,31,22,12,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2007,64,0,0,0,0,0,9,24,23,8,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2008,77,0,0,0,0,0,9,26,27,13,2,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2009,81,0,0,0,0,0,13,29,31,8,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2010,68,0,0,0,0,1,3,31,23,10,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2011,78,0,0,0,0,0,7,26,31,14,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2012,75,0,0,0,0,0,10,27,30,8,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2013,62,0,0,0,0,0,1,26,26,5,4,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2014,79,0,0,0,0,0,8,23,27,21,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2015,73,0,0,0,0,0,6,30,27,8,2,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2016,72,0,0,0,0,0,8,25,25,14,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2017,70,0,0,0,0,0,16,26,23,5,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2018,92,0,0,0,0,0,11,31,30,20,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2019,78,0,0,0,0,0,5,31,27,14,1,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2020,72,0,0,0,0,0,7,30,28,7,0,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2021,81,0,0,0,0,1,10,26,28,16,0,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2022,100,0,0,0,0,0,18,30,31,20,1,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2023,90,0,0,0,0,0,16,30,27,16,1,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2024,84,0,0,0,0,0,13,29,31,10,1,0,0,366,366,1.000,31,29,31,30,31,30,31,31,30,31,30,31
2025,102,0,0,0,0,0,25,27,31,18,1,0,0,365,365,1.000,31,28,31,30,31,30,31,31,30,31,30,31
2026,64,0,0,0,0,2,16,31,15,0,0,0,0,227,365,0.622,31,28,31,30,31,30,31,15,0,0,0,0
