anyo,media_ene,media_feb,media_mar,media_abr,media_may,media_jun,media_jul,media_ago,media_sep,media_oct,media_nov,media_dic,anomalia_ene,anomalia_feb,anomalia_mar,anomalia_abr,anomalia_may,anomalia_jun,anomalia_jul,anomalia_ago,anomalia_sep,anomalia_oct,anomalia_nov,anomalia_dic,media_anual,extremo_anual,dias_con_dato_ene,dias_con_dato_feb,dias_con_dato_mar,dias_con_dato_abr,dias_con_dato_may,dias_con_dato_jun,dias_con_dato_jul,dias_con_dato_ago,dias_con_dato_sep,dias_con_dato_oct,dias_con_dato_nov,dias_con_dato_dic
2010,6.21,6.48,7.83,11.13,13.12,17.80,22.56,21.49,18.75,13.75,9.29,6.43,-0.23,-0.42,-1.05,0.08,-1.31,-0.52,1.33,-0.13,0.13,-1.21,-0.94,-1.04,12.90,25.80,31,28,31,30,31,30,31,31,30,31,30,31
2011,5.73,7.63,9.18,12.88,15.57,18.01,21.07,22.05,19.45,16.10,12.01,7.66,-0.71,0.73,0.30,1.83,1.14,-0.31,-0.16,0.44,0.83,1.15,1.78,0.20,13.95,24.50,31,28,31,30,31,30,31,31,30,31,30,31
2012,6.85,3.68,7.73,10.53,15.13,19.35,21.37,22.46,18.79,14.52,11.09,7.15,0.41,-3.22,-1.16,-0.53,0.70,1.03,0.14,0.85,0.17,-0.43,0.86,-0.32,13.22,25.00,31,29,31,30,31,30,31,31,30,31,30,31
2013,6.83,7.36,9.35,10.62,12.59,16.90,21.35,21.06,18.95,17.21,9.84,6.74,0.39,0.46,0.47,-0.43,-1.83,-1.42,0.12,-0.55,0.32,2.26,-0.39,-0.73,13.23,23.50,31,28,31,30,31,30,31,31,30,31,30,31
2014,8.30,7.92,9.25,13.13,14.73,18.89,20.69,22.05,20.91,16.51,11.77,7.29,1.86,1.02,0.37,2.08,0.31,0.57,-0.54,0.44,2.28,1.56,1.54,-0.18,14.29,25.10,31,28,31,30,31,30,31,31,30,31,30,31
2015,5.96,6.99,9.45,11.38,15.30,18.78,23.30,21.80,18.43,15.11,11.22,9.08,-0.48,0.09,0.57,0.33,0.87,0.46,2.07,0.19,-0.19,0.16,0.99,1.61,13.90,25.90,31,28,31,30,31,30,31,31,30,31,30,31
2016,8.50,8.83,8.74,11.72,14.20,18.55,21.44,21.45,19.42,16.64,10.62,8.78,2.06,1.93,-0.14,0.66,-0.23,0.23,0.21,-0.16,0.79,1.69,0.39,1.31,14.07,24.70,31,29,31,30,31,30,31,31,30,31,30,31
2017,6.01,8.76,9.60,10.71,15.43,20.26,22.27,21.88,17.99,15.96,9.67,6.56,-0.43,1.86,0.72,-0.35,1.00,1.94,1.04,0.26,-0.63,1.01,-0.56,-0.90,13.76,25.00,31,28,31,30,31,30,31,31,30,31,30,31
2018,7.99,5.54,8.96,11.63,14.42,19.10,22.31,22.71,20.26,14.55,10.93,8.39,1.55,-1.36,0.08,0.57,-0.01,0.78,1.08,1.10,1.63,-0.40,0.70,0.92,13.90,26.50,31,28,31,30,31,30,31,31,30,31,30,31
2019,5.70,6.98,9.15,11.30,13.81,17.78,22.31,22.01,19.94,15.91,11.32,9.63,-0.74,0.08,0.27,0.24,-0.62,-0.54,1.08,0.40,1.31,0.96,1.09,2.16,13.82,25.10,31,28,31,30,31,30,31,31,30,31,30,31
2020,6.97,9.49,9.95,12.37,16.33,18.42,22.02,22.13,18.57,13.75,11.65,7.45,0.53,2.59,1.06,1.32,1.91,0.10,0.79,0.52,-0.05,-1.20,1.42,-0.02,14.09,25.40,31,29,31,30,31,30,31,31,30,31,30,31
2021,6.43,9.98,8.71,10.63,14.89,19.11,21.13,21.86,19.68,15.23,10.24,8.97,-0.01,3.08,-0.18,-0.42,0.47,0.79,-0.10,0.24,1.06,0.27,0.01,1.51,13.91,25.70,31,28,31,30,31,30,31,31,30,31,30,31
2022,5.34,8.23,10.16,11.35,15.38,20.37,22.79,23.38,20.38,17.34,12.37,9.88,-1.10,1.33,1.28,0.30,0.95,2.05,1.56,1.77,1.76,2.39,2.14,2.41,14.75,26.60,31,28,31,30,31,30,31,31,30,31,30,31
2023,5.96,5.46,10.33,12.08,14.95,19.84,23.99,22.84,19.68,17.10,11.92,7.91,-0.48,-1.44,1.44,1.03,0.52,1.52,2.76,1.23,1.06,2.15,1.69,0.44,14.34,26.50,31,28,31,30,31,30,31,31,30,31,30,31
2024,8.48,9.82,9.94,11.76,15.00,19.16,22.66,23.15,18.95,16.48,12.85,8.42,2.04,2.92,1.05,0.70,0.58,0.84,1.43,1.54,0.32,1.53,2.62,0.95,14.72,25.20,31,29,31,30,31,30,31,31,30,31,30,31
2025,7.83,8.40,10.32,12.52,15.65,21.68,23.00,23.05,19.86,16.24,10.94,8.66,1.39,1.50,1.43,1.47,1.22,3.36,1.77,1.43,1.24,1.29,0.71,1.20,14.85,27.10,31,28,31,30,31,30,31,31,30,31,30,31
2026,7.72,9.96,9.51,12.65,15.31,20.58,24.16,,,,,,1.28,3.06,0.63,1.60,0.88,2.26,2.93,,,,,,,27.40,31,28,31,30,31,30,31,9,0,0,0,0
normal,6.44,6.90,8.88,11.05,14.43,18.32,21.23,21.61,18.62,14.95,10.23,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,
